Wide(Inches),Weight(Pounds),Ram Size(GB),Ram Type,HDD,Processor,Battery(mAh),Camera(MP),Display,Label
4.0,0.179,2,DDR3,128GB,2.36,1161,48,OLED,6
15.9,3.65,16,DDR4,128GB,1.76,5590,2.1,IPS-LCD,1
15.6,5.36,4,DDR3,512GB,2.67,3991,1.3,IPS-LCD,2
15.9,2.63,8,DDR4,1TB,2.69,3807,2.1,LED,3
14.8,3.16,16,DR2,128GB,4.18,4703,1.3,IPS-LCD,4
9.7,1.52,2,DDR3,32GB,1.3,3303,1.3,IPS,5
3.7,0.154,8,DR2,128GB,1.8,842,6,IPS,6
13.2,4.42,8,DDR4,512GB,2.92,3490,1.9,LED,1
14.1,5.31,16,DDR4,256GB,2.94,3545,1.3,AMOLED,2
15.7,2.97,8,DR2,1TB,2.93,2856,2.1,LED,3
15.5,3.07,2,DDR4,512GB,3.75,3723,1.2,IPS,4
9.9,1.58,4,DDR3,32GB,2.36,3944,12,IPS-LCD,5
4.8,0.167,8,DR2,128GB,1.3,2557,2,IPS,6
14.3,7.67,2,DDR4,1TB,1.99,3024,1.3,IPS,1
14.8,5.51,2,DDR3,128GB,2.6,3308,4,LTPS-SCREEN,2
16.0,2.97,16,DDR4,256GB,3.15,2929,1.2,IPS,3
15.5,3.79,4,DR2,256GB,4.14,4706,1.3,LTPS-SCREEN,4
10.2,1.67,16,DDR3,32GB,1.8,4419,4,AMOLED,5
3.3,0.176,4,DR2,64GB,2.5,2788,10,LED,6
13.2,6.66,4,DDR4,128GB,3.47,5864,1.2,LED,1
14.5,5.79,16,DDR4,1TB,2.87,3437,4,IPS,2
15.9,2.69,8,DDR3,256GB,2.4,2359,2.1,IPS,3
14.9,3.09,16,DDR4,1TB,4.25,4690,1.3,LED,4
10.6,1.36,16,DDR3,16GB,1.3,4139,6,OLED,5
4.3,0.181,16,DDR3,128GB,1.3,3506,48,IPS-LCD,6
15.7,2.15,4,DDR3,128GB,2.67,3832,1.2,LED,1
15.5,4.07,4,DDR4,512GB,2.38,2524,1.9,AMOLED,2
16.0,2.74,4,DDR3,128GB,2.78,4804,1.9,IPS-LCD,3
14.3,3.27,2,DDR3,512GB,4.16,3812,1.9,LED,4
11.5,1.44,16,DR2,32GB,1.3,3764,12,AMOLED,5
5.3,0.182,8,DR2,64GB,1.3,3504,4,AMOLED,6
15.9,6.85,2,DDR3,1TB,3.41,2306,2.1,LED,1
14.0,5.62,2,DR2,256GB,2.61,3320,4,AMOLED,2
15.8,2.64,4,DDR3,128GB,2.72,4158,1.3,IPS,3
13.8,3.19,8,DR2,256GB,4.07,4368,1.9,LTPS-SCREEN,4
11.7,1.35,4,DR2,64GB,2.36,4490,12,LTPS-SCREEN,5
4.6,0.164,8,DDR4,32GB,2.5,2879,108,LED,6
15.5,2.72,8,DDR3,128GB,2.7,5053,2.1,AMOLED,1
15.5,4.28,2,DDR4,256GB,2.77,3141,3.1,LTPS-SCREEN,2
15.9,2.6,4,DDR4,256GB,3.36,3790,1.9,LTPS-SCREEN,3
14.8,3.02,16,DDR4,256GB,4.48,4319,1.9,LED,4
11.1,1.01,4,DR2,16GB,1.8,4319,3,OLED,5
5.5,0.156,2,DDR3,32GB,1.5,634,48,LED,6
13.1,4.99,2,DDR4,128GB,3.39,2589,3.1,LTPS-SCREEN,1
14.4,4.01,2,DDR4,256GB,2.87,2547,3.1,LTPS-SCREEN,2
15.9,2.47,16,DDR3,1TB,2.51,3474,2.1,OLED,3
13.9,3.33,8,DDR4,512GB,4.37,4296,4,IPS,4
11.7,1.19,4,DR2,16GB,1.5,2944,13,AMOLED,5
3.4,0.182,16,DDR3,16GB,2.36,2105,16,AMOLED,6
13.7,5.74,2,DDR4,1TB,2.48,5559,3.1,LED,1
14.1,4.59,16,DDR4,512GB,2.92,3499,1.9,LTPS-SCREEN,2
15.9,2.48,16,DR2,256GB,3.34,3341,2.1,OLED,3
14.3,3.7,2,DDR3,128GB,4.06,4304,1.9,IPS,4
11.3,0.79,8,DR2,64GB,2.36,3942,13,AMOLED,5
4.4,0.149,8,DR2,128GB,1.3,3825,13,LTPS-SCREEN,6
15.7,7.35,2,DDR4,256GB,1.77,2614,1.3,IPS,1
14.5,4.79,16,DDR4,1TB,2.33,3660,1.9,OLED,2
15.9,2.7,2,DR2,128GB,2.4,2192,3.1,AMOLED,3
14.6,3.05,16,DDR4,512GB,3.72,3928,1.2,IPS-LCD,4
9.8,0.82,2,DDR3,64GB,1.5,3763,4,LED,5
4.8,0.15,16,DR2,64GB,2.5,1541,3,OLED,6
14.0,5.2,16,DDR4,128GB,1.77,5410,4,LED,1
14.5,5.72,2,DDR4,128GB,2.6,3549,1.2,LED,2
15.8,2.36,4,DDR4,128GB,2.78,3298,3.1,LED,3
14.1,3.2,8,DDR4,128GB,3.81,3677,3.1,OLED,4
11.9,1.64,8,DDR3,16GB,1.3,4262,10,OLED,5
3.5,0.167,4,DDR4,128GB,2.5,2390,13,LTPS-SCREEN,6
14.1,4.84,8,DR2,256GB,2.39,3393,1.3,AMOLED,1
14.4,4.84,2,DDR4,256GB,2.59,3625,2.1,IPS-LCD,2
15.9,2.77,8,DR2,512GB,3.06,5755,1.2,LED,3
14.0,3.02,4,DDR3,256GB,4.26,3801,4,AMOLED,4
9.9,0.74,2,DDR4,64GB,1.3,3792,2,LED,5
5.6,0.131,4,DDR3,16GB,2.36,1724,4,LED,6
15.0,2.59,16,DDR4,256GB,3.33,4637,3.1,OLED,1
14.8,4.72,16,DR2,256GB,2.34,3453,2.1,AMOLED,2
15.7,2.32,8,DDR4,1TB,2.87,2099,3.1,AMOLED,3
13.7,3.4,2,DR2,512GB,4.01,4252,4,LED,4
9.9,0.74,2,DDR3,64GB,1.3,4384,8,AMOLED,5
4.8,0.143,4,DDR4,32GB,1.3,2037,108,LED,6
14.3,6.37,8,DDR4,512GB,2.76,4687,2.1,IPS-LCD,1
14.8,4.34,2,DDR4,256GB,2.58,3824,1.3,IPS,2
15.9,2.97,2,DR2,256GB,3.38,5789,1.3,LED,3
13.9,2.96,4,DR2,512GB,3.71,4726,1.2,AMOLED,4
11.6,1.74,16,DDR3,32GB,1.5,4977,8,AMOLED,5
4.2,0.186,2,DDR3,32GB,2.96,2193,16,IPS,6
15.7,7.73,4,DR2,1TB,2.57,4520,1.2,OLED,1
15.6,5.67,8,DR2,1TB,2.98,2941,1.2,LTPS-SCREEN,2
15.8,2.91,2,DDR3,1TB,3.15,5535,3.1,AMOLED,3
14.1,3.1,4,DR2,128GB,3.9,3684,2.1,LED,4
10.6,1.41,4,DR2,32GB,1.8,4701,4,AMOLED,5
4.0,0.152,4,DDR3,32GB,2.96,3774,48,LTPS-SCREEN,6
14.4,2.81,8,DDR3,256GB,2.14,3293,4,LTPS-SCREEN,1
14.4,5.65,8,DDR3,128GB,2.3,3495,1.2,LED,2
16.0,2.68,16,DR2,512GB,3.13,5045,3.1,LTPS-SCREEN,3
14.4,3.0,8,DDR3,256GB,4.47,4724,4,OLED,4
11.2,1.08,16,DR2,64GB,2.36,2511,1.3,IPS-LCD,5
4.5,0.18,4,DR2,16GB,1.5,889,4,LTPS-SCREEN,6
15.2,4.54,8,DR2,1TB,2.22,2545,1.2,LED,1
14.4,4.1,16,DR2,1TB,2.55,3068,2.1,OLED,2
15.8,2.41,8,DR2,1TB,3.24,3361,2.1,IPS,3
14.7,3.69,4,DDR4,256GB,4.15,3767,2.1,IPS-LCD,4
11.7,0.92,16,DR2,32GB,1.8,2868,3,LED,5
4.5,0.142,16,DR2,32GB,2.96,3560,13,IPS,6
15.4,6.39,8,DDR4,128GB,1.87,5453,1.9,LTPS-SCREEN,1
15.2,4.74,4,DR2,128GB,2.47,3186,4,IPS-LCD,2
15.8,2.58,4,DDR3,128GB,3.46,2850,1.2,OLED,3
15.4,3.64,4,DDR4,1TB,4.1,3608,3.1,LTPS-SCREEN,4
9.9,1.14,8,DDR3,16GB,1.3,3466,1.3,AMOLED,5
4.1,0.134,4,DR2,128GB,2.96,677,8,IPS-LCD,6
13.0,6.56,4,DDR4,256GB,2.29,4177,1.2,IPS,1
14.4,5.36,2,DDR4,512GB,2.32,3982,1.2,AMOLED,2
15.9,2.98,4,DR2,128GB,2.78,5116,2.1,IPS,3
14.3,3.09,8,DR2,256GB,3.72,4385,1.2,LED,4
11.2,1.47,16,DDR3,32GB,1.5,4504,8,OLED,5
4.8,0.174,4,DDR4,32GB,1.3,1842,1.3,AMOLED,6
15.5,7.19,8,DDR4,128GB,2.62,4860,2.1,OLED,1
15.0,5.91,8,DR2,1TB,2.99,3056,1.9,AMOLED,2
15.9,2.45,2,DR2,512GB,2.35,4236,4,IPS,3
14.8,3.1,4,DDR4,128GB,4.39,3973,4,IPS,4
9.8,1.19,4,DDR4,16GB,2.36,4328,13,LTPS-SCREEN,5
4.1,0.162,16,DR2,128GB,2.96,2396,3,IPS,6
14.4,5.65,4,DR2,512GB,3.44,3362,3.1,OLED,1
15.3,5.02,8,DDR4,1TB,2.67,2624,4,AMOLED,2
15.9,2.84,8,DDR3,512GB,2.34,2791,1.9,IPS-LCD,3
13.7,2.96,8,DDR4,128GB,4.31,3990,3.1,IPS,4
11.6,0.95,2,DR2,16GB,2.36,3955,4,IPS,5
4.0,0.174,8,DDR3,16GB,1.5,1382,32,OLED,6
14.0,4.42,8,DDR4,128GB,2.06,5341,2.1,IPS-LCD,1
15.0,4.7,8,DR2,512GB,2.55,2766,3.1,LTPS-SCREEN,2
15.7,2.59,8,DR2,256GB,3.21,5934,1.9,LED,3
15.1,3.14,2,DDR3,256GB,3.84,4187,1.3,IPS,4
10.7,1.3,4,DDR3,32GB,1.3,4723,4,LED,5
4.1,0.14,2,DR2,16GB,1.5,2358,108,LED,6
15.4,2.81,2,DR2,128GB,2.21,3902,4,AMOLED,1
14.5,4.4,2,DDR4,256GB,2.76,2950,3.1,LED,2
15.8,2.86,2,DR2,256GB,2.48,5398,3.1,LTPS-SCREEN,3
14.1,3.17,4,DR2,1TB,4.23,4824,1.9,OLED,4
10.0,1.76,8,DDR3,64GB,1.3,3976,13,LTPS-SCREEN,5
4.3,0.134,4,DDR4,128GB,2.5,1072,2,LTPS-SCREEN,6
14.7,3.01,4,DDR3,1TB,3.28,3835,1.9,OLED,1
14.7,5.86,8,DR2,512GB,2.36,2586,1.2,AMOLED,2
15.7,2.82,8,DR2,128GB,2.74,5152,1.3,LTPS-SCREEN,3
14.7,2.9,16,DDR4,256GB,4.49,4887,2.1,OLED,4
11.0,1.8,4,DR2,64GB,2.36,3711,10,IPS,5
5.3,0.185,16,DDR3,64GB,2.36,2081,2,IPS,6
14.3,2.66,4,DDR3,256GB,2.79,2486,1.9,LED,1
14.8,4.66,8,DDR4,1TB,2.79,2614,1.3,AMOLED,2
15.8,2.99,8,DDR3,128GB,3.14,5855,2.1,LED,3
14.6,3.49,2,DDR4,128GB,3.92,4371,1.2,LTPS-SCREEN,4
10.1,1.78,4,DDR4,16GB,1.8,2517,13,LTPS-SCREEN,5
3.7,0.178,4,DDR4,128GB,1.3,646,16,LED,6
14.2,6.98,8,DR2,1TB,3.27,2611,1.9,OLED,1
14.7,5.34,4,DR2,256GB,2.95,3205,4,OLED,2
15.7,2.87,4,DDR3,128GB,2.32,3210,1.3,OLED,3
15.5,3.38,4,DR2,512GB,4.35,4044,1.2,AMOLED,4
10.8,1.16,8,DDR3,32GB,1.5,4814,3,OLED,5
3.7,0.16,16,DR2,128GB,2.96,3940,1.3,LTPS-SCREEN,6
15.8,4.76,16,DDR4,512GB,2.42,5936,1.2,LED,1
15.2,5.74,4,DR2,512GB,2.96,2590,3.1,AMOLED,2
15.8,2.59,2,DDR3,128GB,3.45,5786,2.1,LED,3
14.8,3.68,16,DDR4,128GB,4.46,4075,1.9,IPS,4
10.8,0.9,2,DR2,16GB,1.8,3657,12,IPS-LCD,5
4.1,0.174,2,DDR3,64GB,1.5,903,6,LED,6
13.0,6.44,16,DDR3,512GB,2.85,4753,2.1,LED,1
15.4,5.59,16,DR2,512GB,2.48,2945,4,AMOLED,2
15.7,2.78,2,DDR4,512GB,2.58,4940,1.9,IPS-LCD,3
14.3,3.78,2,DR2,256GB,3.9,4513,1.3,AMOLED,4
11.3,0.78,8,DR2,16GB,2.36,3872,2,LTPS-SCREEN,5
5.3,0.187,8,DDR4,16GB,2.5,3988,48,LED,6
15.0,3.43,16,DR2,128GB,2.13,2845,1.2,IPS,1
14.8,5.24,2,DR2,128GB,2.98,3001,1.2,IPS-LCD,2
15.7,2.79,8,DDR4,128GB,3.22,5251,1.2,IPS-LCD,3
15.3,3.1,16,DDR3,1TB,3.79,3700,2.1,IPS,4
11.9,0.8,2,DDR3,64GB,1.3,4151,12,OLED,5
5.0,0.182,2,DR2,32GB,2.96,3206,6,IPS-LCD,6
13.7,4.34,16,DR2,512GB,3.46,2326,1.3,LTPS-SCREEN,1
14.3,4.18,4,DDR4,1TB,2.45,3376,1.2,OLED,2
15.6,2.59,2,DDR3,512GB,2.81,4535,1.3,IPS-LCD,3
14.4,3.43,2,DDR4,128GB,3.71,3949,2.1,LTPS-SCREEN,4
10.5,1.25,8,DR2,32GB,2.36,3394,12,OLED,5
4.4,0.132,16,DR2,32GB,1.3,3080,10,LED,6
15.2,4.3,16,DR2,512GB,2.03,4426,1.3,IPS,1
15.4,5.5,16,DR2,512GB,2.7,3121,2.1,LED,2
16.0,2.91,2,DDR3,512GB,2.86,4820,1.2,IPS,3
14.8,3.04,16,DDR3,256GB,4.23,3600,1.3,AMOLED,4
11.1,1.58,4,DDR4,32GB,1.3,4418,2,IPS,5
5.2,0.166,16,DDR4,128GB,2.96,1803,13,LTPS-SCREEN,6
14.4,5.2,8,DR2,1TB,3.1,2460,2.1,AMOLED,1
14.9,4.99,2,DR2,1TB,2.84,3932,1.9,AMOLED,2
15.7,2.42,16,DDR4,1TB,2.58,3376,4,OLED,3
13.7,3.61,8,DR2,128GB,4.19,4209,3.1,OLED,4
9.7,1.3,16,DDR4,64GB,1.8,4576,10,LTPS-SCREEN,5
4.5,0.161,16,DDR4,128GB,2.36,2248,108,OLED,6
14.3,3.5,8,DR2,256GB,2.97,2731,4,IPS-LCD,1
14.7,5.98,4,DDR3,512GB,2.7,3311,3.1,IPS,2
15.8,2.53,8,DDR3,128GB,2.38,3088,1.2,IPS,3
13.6,3.74,4,DDR3,256GB,4.14,4309,4,LED,4
10.6,1.58,2,DDR4,64GB,1.3,4549,4,LED,5
5.0,0.147,8,DR2,64GB,2.5,1115,3,IPS,6
14.8,4.14,16,DDR3,256GB,2.1,4038,2.1,LTPS-SCREEN,1
14.9,5.95,4,DR2,256GB,2.82,3821,1.2,OLED,2
15.6,2.43,16,DR2,1TB,2.86,4015,1.2,LTPS-SCREEN,3
13.9,2.98,2,DDR3,1TB,4.04,4386,2.1,LED,4
11.5,1.21,16,DDR3,32GB,1.5,3863,12,IPS,5
3.8,0.188,16,DR2,128GB,2.5,693,3,AMOLED,6
13.3,5.51,4,DDR4,256GB,3.44,4920,1.2,LED,1
14.5,4.74,2,DDR3,128GB,2.32,3063,4,OLED,2
15.9,2.95,16,DDR4,256GB,2.84,5632,4,AMOLED,3
15.4,3.34,2,DDR3,128GB,4.49,4825,3.1,LED,4
10.4,1.76,16,DR2,64GB,1.5,4431,10,IPS-LCD,5
3.8,0.172,2,DDR4,128GB,1.3,1617,16,IPS-LCD,6
15.5,7.8,16,DDR4,256GB,2.81,5293,1.2,LED,1
14.7,4.59,2,DR2,512GB,2.59,3383,1.2,IPS-LCD,2
15.7,2.59,2,DDR4,128GB,2.79,2496,2.1,IPS,3
14.1,3.5,8,DR2,128GB,3.86,4124,2.1,IPS,4
10.4,1.73,4,DDR3,32GB,2.36,3420,3,IPS-LCD,5
4.4,0.169,8,DDR3,16GB,2.5,1217,13,IPS-LCD,6
15.1,4.93,16,DR2,512GB,2.47,2887,1.2,IPS,1
15.6,5.73,16,DDR3,128GB,2.37,3191,1.3,OLED,2
15.8,2.35,4,DDR3,1TB,2.49,2789,1.9,OLED,3
14.6,3.05,4,DDR3,128GB,4.36,4119,3.1,LED,4
9.8,1.7,4,DDR3,16GB,1.3,4426,13,AMOLED,5
4.6,0.153,2,DR2,64GB,2.96,3060,10,IPS-LCD,6
14.6,2.67,16,DR2,128GB,1.68,4891,2.1,IPS-LCD,1
14.2,5.48,4,DDR4,512GB,2.4,3699,4,AMOLED,2
15.7,2.47,16,DDR3,256GB,3.16,4084,1.3,LTPS-SCREEN,3
14.3,3.63,4,DR2,1TB,4.2,3898,1.3,OLED,4
11.6,1.04,8,DDR4,16GB,1.5,3350,12,IPS-LCD,5
4.1,0.189,8,DDR3,128GB,1.8,2400,12,LTPS-SCREEN,6
14.5,6.72,4,DR2,1TB,2.14,4947,1.9,IPS-LCD,1
15.1,4.02,8,DR2,128GB,2.75,2593,1.3,OLED,2
15.8,2.32,16,DR2,1TB,3.48,3942,1.9,IPS,3
14.2,3.0,8,DR2,128GB,3.82,4573,1.3,AMOLED,4
11.2,1.43,16,DDR4,16GB,2.36,4029,4,OLED,5
3.1,0.139,2,DDR3,128GB,2.96,1191,4,AMOLED,6
13.6,4.6,4,DR2,256GB,2.6,4079,4,IPS,1
14.7,5.55,2,DDR4,256GB,2.96,2515,1.2,AMOLED,2
15.9,2.41,8,DDR4,128GB,2.47,4025,3.1,AMOLED,3
15.2,3.69,8,DDR3,128GB,3.93,4298,1.2,AMOLED,4
11.6,1.7,2,DDR3,64GB,1.8,3958,3,AMOLED,5
4.0,0.173,16,DDR4,16GB,2.96,3201,13,LED,6
15.6,7.56,4,DDR3,256GB,2.25,2719,1.9,LTPS-SCREEN,1
14.5,4.08,4,DR2,1TB,2.83,2880,1.9,AMOLED,2
15.7,2.7,4,DR2,256GB,3.14,5121,3.1,OLED,3
13.7,3.53,8,DDR4,1TB,3.74,3692,4,IPS,4
11.3,1.27,2,DDR3,32GB,1.3,3024,10,AMOLED,5
3.6,0.188,8,DDR3,64GB,2.96,3741,16,LTPS-SCREEN,6
13.7,4.45,16,DDR3,128GB,1.79,3458,1.2,AMOLED,1
14.4,5.63,2,DR2,256GB,2.73,3467,1.2,IPS,2
16.0,2.75,2,DDR3,512GB,2.53,2577,2.1,LED,3
14.3,3.49,2,DR2,256GB,4.04,4786,1.9,OLED,4
10.5,0.76,8,DDR4,64GB,1.3,2803,12,AMOLED,5
3.1,0.132,8,DDR4,64GB,1.8,1719,32,LED,6
15.2,2.02,16,DDR3,1TB,1.91,3663,3.1,OLED,1
15.6,4.22,16,DDR4,1TB,2.94,2695,1.9,IPS-LCD,2
15.8,2.34,2,DDR4,1TB,2.82,2499,2.1,OLED,3
14.9,3.66,16,DDR4,256GB,4.4,4735,3.1,AMOLED,4
10.6,0.95,4,DR2,64GB,1.3,4248,6,IPS,5
4.0,0.157,4,DDR3,64GB,2.5,3639,48,IPS,6
15.3,4.99,16,DDR3,128GB,2.74,3447,3.1,IPS-LCD,1
14.8,5.02,16,DDR3,256GB,2.49,2577,3.1,LTPS-SCREEN,2
15.6,2.92,8,DDR4,128GB,2.55,4196,2.1,LTPS-SCREEN,3
14.6,3.0,2,DDR4,128GB,4.47,4015,3.1,LTPS-SCREEN,4
11.0,1.43,16,DDR3,16GB,1.5,4225,1.3,IPS,5
3.4,0.161,2,DR2,16GB,2.96,3429,32,AMOLED,6
13.8,7.08,8,DR2,1TB,2.01,4987,1.3,AMOLED,1
14.2,5.78,4,DDR4,512GB,2.32,3605,4,AMOLED,2
15.7,2.92,4,DDR4,256GB,3.26,3066,4,LED,3
13.9,3.2,16,DDR4,128GB,4.34,3750,1.9,LTPS-SCREEN,4
10.7,0.74,8,DDR3,64GB,1.3,3857,1.3,IPS,5
4.2,0.145,8,DR2,32GB,1.3,3077,8,AMOLED,6
15.5,2.9,4,DDR4,512GB,3.31,4059,2.1,LED,1
15.4,5.05,16,DDR4,1TB,2.54,2965,4,LED,2
15.6,2.83,16,DDR3,512GB,2.32,3884,4,LTPS-SCREEN,3
13.7,3.38,2,DR2,256GB,3.97,3812,1.3,IPS-LCD,4
11.6,0.86,16,DDR4,64GB,1.5,2715,4,OLED,5
3.8,0.148,16,DDR4,128GB,2.96,2425,16,IPS-LCD,6
15.7,4.6,8,DR2,512GB,3.24,5173,1.2,LED,1
15.1,5.56,16,DDR4,1TB,2.48,2880,3.1,AMOLED,2
15.8,2.66,16,DR2,256GB,3.06,3495,1.3,AMOLED,3
13.7,3.74,4,DDR4,128GB,4.02,4698,3.1,LTPS-SCREEN,4
11.8,1.73,16,DDR3,64GB,2.36,3092,12,IPS-LCD,5
4.2,0.134,2,DDR4,16GB,1.8,3729,6,OLED,6
14.8,2.45,4,DDR3,1TB,2.15,2785,2.1,IPS-LCD,1
14.6,4.09,2,DR2,256GB,2.62,3752,4,IPS,2
16.0,2.53,16,DDR4,1TB,2.51,4003,2.1,OLED,3
13.9,3.56,2,DR2,256GB,4.14,4198,4,LTPS-SCREEN,4
10.9,0.76,2,DR2,16GB,1.5,4341,12,IPS,5
4.4,0.172,2,DDR3,16GB,1.5,1633,32,AMOLED,6
14.1,4.02,16,DDR3,256GB,3.1,2643,3.1,IPS-LCD,1
15.1,4.5,4,DDR3,256GB,2.7,3422,4,LED,2
15.7,2.31,16,DR2,128GB,2.89,2757,1.9,IPS-LCD,3
14.8,3.61,4,DDR4,256GB,4.1,4436,2.1,AMOLED,4
9.7,1.79,4,DDR3,16GB,1.5,4826,3,AMOLED,5
5.3,0.146,4,DDR4,128GB,2.96,2941,16,LTPS-SCREEN,6
14.4,3.29,8,DR2,256GB,3.34,4424,2.1,IPS,1
14.9,4.3,2,DR2,256GB,2.73,3692,2.1,AMOLED,2
15.8,2.6,2,DDR4,256GB,3.29,4472,1.3,LED,3
14.6,3.68,4,DR2,1TB,4.36,4552,1.9,LED,4
11.8,1.6,8,DDR3,32GB,1.3,3222,6,AMOLED,5
3.0,0.138,4,DDR4,64GB,1.8,1618,12,IPS,6
13.5,6.56,16,DDR3,128GB,1.76,3516,2.1,IPS-LCD,1
14.5,5.96,16,DDR4,1TB,2.84,3104,1.2,AMOLED,2
15.6,2.65,8,DR2,512GB,3.23,5762,1.3,AMOLED,3
14.8,3.39,2,DDR4,256GB,3.85,4031,1.9,OLED,4
11.1,1.67,16,DDR4,16GB,1.3,3558,8,LTPS-SCREEN,5
3.9,0.132,4,DDR4,32GB,2.5,3698,8,OLED,6
14.3,4.42,16,DDR3,256GB,2.22,5628,1.2,AMOLED,1
15.3,4.49,8,DDR4,128GB,2.71,3659,2.1,LED,2
15.8,2.31,16,DDR3,128GB,2.31,4834,1.9,IPS,3
15.4,2.99,4,DR2,1TB,4.03,4482,3.1,LTPS-SCREEN,4
10.3,1.13,8,DR2,16GB,1.5,3413,2,LED,5
4.0,0.146,16,DDR3,128GB,1.3,1898,12,AMOLED,6
14.0,5.01,2,DDR3,128GB,3.39,3763,1.3,LTPS-SCREEN,1
14.9,4.78,8,DR2,1TB,2.58,2597,1.9,OLED,2
15.7,2.68,16,DR2,1TB,3.5,3626,1.9,OLED,3
15.2,3.08,2,DDR3,256GB,4.5,4776,2.1,AMOLED,4
10.3,1.04,2,DDR4,64GB,1.3,3353,6,IPS-LCD,5
4.3,0.132,4,DDR4,128GB,2.96,2039,12,LTPS-SCREEN,6
14.2,5.12,8,DR2,128GB,3.08,3196,3.1,IPS,1
14.7,5.71,4,DR2,256GB,2.51,2661,3.1,AMOLED,2
15.8,2.9,16,DDR3,1TB,3.03,3419,1.3,IPS,3
14.9,3.64,4,DDR3,256GB,3.78,3909,1.2,AMOLED,4
10.4,1.1,4,DDR3,64GB,1.8,3118,1.3,LED,5
5.3,0.172,16,DDR4,128GB,2.36,1572,108,LTPS-SCREEN,6
14.9,2.41,4,DDR3,128GB,1.68,5563,2.1,IPS,1
14.5,4.63,16,DDR4,256GB,2.8,3560,1.3,LED,2
15.9,2.76,4,DR2,256GB,2.53,4591,4,LTPS-SCREEN,3
13.7,3.19,16,DR2,1TB,3.98,4840,4,LED,4
9.8,1.56,4,DDR4,64GB,2.36,3969,10,IPS-LCD,5
3.5,0.133,16,DDR4,128GB,2.96,1875,6,IPS,6
14.1,6.81,4,DDR4,256GB,2.96,5391,1.3,OLED,1
14.0,4.41,2,DDR4,128GB,2.41,2871,1.3,IPS,2
15.8,2.72,16,DDR4,512GB,3.14,3586,1.3,IPS,3
15.5,3.73,2,DDR3,256GB,4.18,4896,1.9,OLED,4
10.2,0.79,8,DDR4,16GB,1.5,3153,6,IPS,5
4.0,0.144,16,DR2,32GB,1.5,1476,13,IPS-LCD,6
13.0,4.68,2,DR2,512GB,3.44,3498,3.1,LED,1
14.1,4.66,2,DR2,128GB,2.72,3624,4,IPS-LCD,2
15.8,2.96,16,DDR3,512GB,2.47,5705,1.3,LED,3
15.1,2.9,16,DDR3,512GB,4.49,4643,4,AMOLED,4
10.3,1.08,2,DDR4,64GB,1.3,2763,10,LTPS-SCREEN,5
4.7,0.15,16,DR2,64GB,2.36,3349,2,IPS-LCD,6
15.3,5.45,8,DDR4,128GB,2.74,2884,2.1,OLED,1
14.7,4.4,16,DDR3,1TB,2.84,3531,1.3,IPS,2
15.8,2.99,2,DR2,256GB,3.43,4341,1.9,LED,3
14.0,3.4,8,DDR4,1TB,4.05,4143,1.2,IPS-LCD,4
11.8,0.92,8,DDR4,32GB,1.5,4416,6,OLED,5
5.3,0.133,2,DDR4,16GB,1.3,2127,108,LTPS-SCREEN,6
14.2,5.13,2,DR2,1TB,3.18,2277,2.1,LTPS-SCREEN,1
14.4,4.68,16,DR2,1TB,2.75,2732,3.1,AMOLED,2
15.7,2.58,2,DR2,256GB,2.33,2010,2.1,IPS-LCD,3
15.1,2.99,2,DDR4,1TB,3.9,3639,2.1,AMOLED,4
11.5,1.64,4,DR2,32GB,1.5,3460,3,IPS,5
3.1,0.159,4,DDR3,128GB,2.5,3224,48,LED,6
13.0,4.35,2,DDR3,512GB,2.99,4629,1.2,OLED,1
14.6,4.9,8,DDR3,512GB,2.39,3576,1.9,AMOLED,2
15.7,2.7,8,DDR4,512GB,2.79,4696,3.1,IPS-LCD,3
14.4,3.78,4,DDR3,128GB,3.74,3895,1.3,AMOLED,4
10.3,1.76,16,DDR3,32GB,1.5,3087,2,AMOLED,5
4.2,0.177,8,DDR4,32GB,1.3,1151,32,LTPS-SCREEN,6
14.6,5.9,2,DDR3,128GB,2.41,3228,1.9,AMOLED,1
15.4,4.8,8,DDR4,128GB,2.98,2512,1.3,OLED,2
15.6,2.33,2,DR2,256GB,2.77,2974,3.1,LTPS-SCREEN,3
14.5,3.17,16,DDR3,512GB,4.44,3750,3.1,IPS,4
11.8,1.64,8,DR2,64GB,2.36,4209,2,LED,5
5.5,0.137,16,DR2,32GB,2.5,3625,2,LTPS-SCREEN,6
13.2,2.53,4,DDR3,128GB,3.07,2843,1.9,LTPS-SCREEN,1
14.8,5.35,16,DDR3,128GB,2.47,2794,4,OLED,2
15.7,2.36,4,DDR3,512GB,2.74,6000,1.3,LED,3
15.0,3.35,16,DR2,256GB,4.4,4331,2.1,OLED,4
10.4,1.29,8,DR2,16GB,1.8,3516,4,IPS,5
3.4,0.152,2,DR2,32GB,2.96,3008,12,OLED,6
13.7,3.73,4,DDR4,128GB,3.38,2824,1.3,IPS-LCD,1
14.8,5.1,16,DDR3,512GB,2.64,3498,4,IPS-LCD,2
15.9,2.99,4,DDR3,1TB,2.53,4319,2.1,IPS-LCD,3
14.8,3.48,8,DDR4,512GB,3.91,3734,1.2,LTPS-SCREEN,4
11.8,1.22,8,DR2,32GB,2.36,3463,1.3,LED,5
4.5,0.186,2,DDR3,16GB,1.3,3737,16,IPS,6
13.8,7.39,16,DR2,512GB,3.18,5437,3.1,IPS-LCD,1
